Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2018-03-20,Iron Men,2017,https://letterboxd.com/spur_22/film/iron-men/,,,2018-03-19
2018-03-24,The Rutles: All You Need Is Cash,1978,https://letterboxd.com/spur_22/film/the-rutles-all-you-need-is-cash/,,,2018-03-23
2018-03-24,Allied,2016,https://letterboxd.com/spur_22/film/allied/1/,,,2018-03-23
2018-03-25,Triple 9,2016,https://letterboxd.com/spur_22/film/triple-9/,,,2018-03-24
2018-03-25,Arrival,2016,https://letterboxd.com/spur_22/film/arrival-2016/,,,2018-03-24
2018-03-27,The Greatest Showman,2017,https://letterboxd.com/spur_22/film/the-greatest-showman/,,,2018-03-25
2018-03-27,Thor: Ragnarok,2017,https://letterboxd.com/spur_22/film/thor-ragnarok/,,,2018-03-25
2018-03-29,The Boss Baby,2017,https://letterboxd.com/spur_22/film/the-boss-baby/,,,2018-03-28
2018-03-29,The Ballad of Lefty Brown,2017,https://letterboxd.com/spur_22/film/the-ballad-of-lefty-brown/,,,2018-03-28
2018-03-30,Swiss Army Man,2016,https://letterboxd.com/spur_22/film/swiss-army-man/,,,2018-03-29
2018-03-30,A Most Violent Year,2014,https://letterboxd.com/spur_22/film/a-most-violent-year/,,,2018-03-29
2018-03-30,LEGO DC Comics Super Heroes: Justice League: Cosmic Clash,2016,https://letterboxd.com/spur_22/film/lego-dc-comics-super-heroes-justice-league-cosmic-clash/,,,2018-03-30
2018-03-31,Bomb City,2017,https://letterboxd.com/spur_22/film/bomb-city/,,,2018-03-30
2018-03-31,Star Wars: The Last Jedi,2017,https://letterboxd.com/spur_22/film/star-wars-the-last-jedi/,,,2018-03-30
2018-04-04,Cannibal,2013,https://letterboxd.com/spur_22/film/cannibal-2013/,,,2018-04-03
2018-04-04,The Blackcoat's Daughter,2015,https://letterboxd.com/spur_22/film/the-blackcoats-daughter/,,,2018-04-03
2018-04-04,Mazinger Z: Infinity,2017,https://letterboxd.com/spur_22/film/mazinger-z-infinity/,,,2018-04-03
2018-04-04,Up,2009,https://letterboxd.com/spur_22/film/up/,,,2018-04-04
2018-04-05,Shaun of the Dead,2004,https://letterboxd.com/spur_22/film/shaun-of-the-dead/,,,2018-04-04
2018-04-05,As Luck Would Have It,2011,https://letterboxd.com/spur_22/film/as-luck-would-have-it-2011/,,,2018-04-04
2018-04-06,Green Room,2015,https://letterboxd.com/spur_22/film/green-room/,,,2018-04-05
2018-04-07,Maggie,2015,https://letterboxd.com/spur_22/film/maggie/,,,2018-04-06
2018-04-07,Jupiter's Moon,2017,https://letterboxd.com/spur_22/film/jupiters-moon-2017/,,,2018-04-06
2018-04-08,Barely Lethal,2015,https://letterboxd.com/spur_22/film/barely-lethal/,,,2018-04-07
2018-04-08,Bone Tomahawk,2015,https://letterboxd.com/spur_22/film/bone-tomahawk/,,,2018-04-07
2018-04-09,Calvary,2014,https://letterboxd.com/spur_22/film/calvary/,,,2018-04-08
2018-04-09,Suburbicon,2017,https://letterboxd.com/spur_22/film/suburbicon/,,,2018-04-08
